UniPunc	BERT	Human
i wonder, is this bad or just complicated? thank you.	i wonder is this bad? or just complicated? thank you.	i wonder, is this bad or just complicated? thank you.
have you realized? have you thought about what shapes our consciousness? the fear of the other, of the different, of the foreign, is - at least as far as i can remember - more intense than ever all over the world.	have you realized? have you thought about what shapes our consciousness? the fear of the other, of the different, of the foreign, is - at least as far as i can remember - more intense than ever all over the world.	have you realized, have you thought about, what shapes our consciousness? the fear of the other, of the different, of the foreign, is - at least as far as i can remember - more intense than ever all over the world.
blue book is an obvious word play between deep blue, the first computer which beat a world chess champion, and facebook, the well known social network where we all contribute our ideas, our dreams, our thoughts, and a few photos of our favorite cats.	blue book is an obvious word play between deep blue, the first computer which beat a world chess champion, and facebook, the well known social network where we all contribute our ideas, our dreams, our thoughts, and a few photos of our favorite cats.	blue book is an obvious word play between deep blue, the first computer which beat a world chess champion, and facebook, the well known social network, where we all contribute our ideas, our dreams, our thoughts, and a few photos of our favorite cats.
thank you. good afternoon.	thank you. good afternoon.	thank you, good afternoon.
already, 2, 500 years ago, aristotle considered that pathos was an essential element of what he called rhetoric.	already, 2, 500 years ago, aristotle considered that pathos was an essential element of what he called rhetoric.	already 2, 500 years ago, aristotle considered that pathos was an essential element of what he called rhetoric.
but they don't change accidentally. they do. because you did. first you were chasing her flaws, now you're chasing her needs, and then you try to address them this way. you create a mental space where you can take care of each other instead of fighting each other.	but they don't change accidentally. they do, because you did. first, you were chasing her flaws, now you're chasing her needs, and then you try to address them this way. you create a mental space where you can take care of each other instead of fighting each other.	but they don't change accidentally, they do because you did. first you were chasing her flaws, now you're chasing her needs. and then you try to address them. this way, you create a mental space where you can take care of each other, instead of fighting each other.
maybe in 30 years' time, machines will enjoy more freedom than what they have now. but the key is how much freedom we're going to hand over, what they will be able to do, when they will not only listen to our discussions or see where we are, but also have access to our medical files or the gps sensor of our mobile phone, and will know where we are.	maybe in 30 years' time machines will enjoy more freedom than what they have now. but the key is how much freedom we're going to hand over, what they will be able to do, when they will not only listen to our discussions or see where we are, but also have access to our medical files, or the gps sensor of our mobile phone, and will know where we are.	maybe in 30 years' time, machines will enjoy more freedom than what they have now, but the key is how much freedom we're going to hand over. what they will be able to do when they will not only listen to our discussions or see where we are, but also have access to our medical files or the gps sensor of our mobile phone and will know where we are.
in the rich world, perhaps the top one billion, we probably could cut back and use less, but every year, this number, on average, is going to go up, and so overall, that will more than double the services delivered per person. here we have a very basic service. do you have lighting in your house to be able to read your homework?	in the rich world, perhaps the top one billion, we probably could cut back and use less, but every year, this number, on average, is going to go up, and so overall, that will more than double the services delivered per person. here we have a very basic service. do you have lighting in your house to be able to read your homework?	in the rich world, perhaps the top one billion, we probably could cut back and use less, but every year, this number, on average, is going to go up, and so, overall, that will more than double the services delivered per person. here we have a very basic service, do you have lighting in your house to be able to read your homework?
i'll talk to them, listen to their opinion and tell them mine without any shame. and whenever i develop a close relationship with someone, these things matter to me, because it matters to me what this person thinks about other people and how they deserve to be treated.	i'll talk to them, listen to their opinion and tell them mine without any shame. and whenever i develop a close relationship with someone, these things matter to me. because it matters to me what this person thinks about other people and how they deserve to be treated.	i'll talk to them, listen to their opinion and tell them mine without any shame. and whenever i develop a close relationship with someone, these things matter to me. because it matters to me what this person thinks about other people and how they deserve to be treated.
first into your hair than into your suit. then into the room, into your friends, then out into your village and into your city. it's important. once you understood what you are all about, it's important to fill with this as much space around as possible.	first into your hair than into your suit. then into the room, into your friends. then out into your village, and into your city. it's important. once you understood what you are all about, it's important to fill with this as much space around as possible.	first into your hair, than into your suit, then into the room, into your friends, then out into your village, and into your city. it's important, once you understood what you are all about, it's important to fill with this as much space around as possible.
it is possible. and if you want to know more about us, here is our website and social media. thank you.	it is possible. and if you want to know more about us, here is our website and social media. thank you.	it. is. possible. and if you want to know more about us, here is our website and social media. thank you.
